Address,Neighborhood,HouseType,Price,Bath,CrimeIndex,MinutesToLoop,MilesToLake,Age,LotSizeSqft,HouseSizeSqft,SchoolIndex
"2033 W Division St #3, Chicago IL",Wicker Park,Condo,380000,3,2.59,9,3.78,0,0,2500,59.5
"1725 W Division St #201, Chicago IL",Wicker Park,Condo,381900,3,5.63,8,3.27,0,0,2500,59.5
"1725 W Division St #7, Chicago IL",Wicker Park,Condo,381900,3,5.63,8,3.27,0,0,2500,59.5
"1622 W Beach Ave #2, Chicago IL",Wicker Park,Condo,383000,3,4.63,9,2.94,119,0,2500,78.9
"1109 N Hermitage Ave, Chicago IL",Wicker Park,Multi-Family Home,383500,2,5.38,8,3.29,128,3049,2763,59.5
"2029 W Pierce Ave #4-W, Chicago IL",Wicker Park,Condo,384000,3,3.39,10,3.6,83,0,2500,69.4
"1020 N Honore St #3, Chicago IL",Wicker Park,Condo,385000,3,3.99,9,3.55,0,0,2500,59.5
"2012 W Saint Paul Ave #410, Chicago IL",Wicker Park,Condo,385000,3,5.58,22,3.45,41,0,2500,36.1
"1737 N Paulina St #102, Chicago IL",Wicker Park,Condo,385000,3,2.4,9,2.9,0,0,2500,50
"1728 N Damen Ave #207, Chicago IL",Wicker Park,Condo,385000,3,5.65,9,3.42,41,0,2500,36.1
"1656 W Blackhawk St #1W, Chicago IL",Wicker Park,Condo,387000,3,4.63,9,3.01,0,0,2500,78.9
"1751 W Division St #2W, Chicago IL",Wicker Park,Condo,387500,3,5.88,8,3.31,0,0,2500,59.5
"1514 W Thomas St #4C, Chicago IL",Wicker Park,Condo,389000,3,5.3,7,2.94,0,0,2500,27.3
"1747 W North Ave, Chicago IL",Wicker Park,Multi-Family Home,390000,3,5.78,8,3.1,131,2614,2596,50
"2111 W Division St #5, Chicago IL",Wicker Park,Condo,390000,3,2.59,9,3.91,0,0,2500,36.2
"2019 W Pierce Ave #1, Chicago IL",Wicker Park,Condo,391000,3,3.39,10,3.57,0,0,2500,69.4
"2300 W Wabansia Ave #316, Chicago IL",Wicker Park,Condo,392000,3,8.08,11,3.95,0,0,2500,36.1
"2089 W Wabansia Ave #307, Chicago IL",Wicker Park,Condo,392500,4,5.58,10,3.58,0,0,3000,36.1
"2007 W Churchill St #303, Chicago IL",Wicker Park,Condo,394000,4,4.33,10,3.4,0,0,3000,36.1
"2052 W North Ave #3E, Chicago IL",Wicker Park,Condo,394500,4,4.38,9,3.6,0,0,3000,93.9
"922 N Hermitage Ave, Chicago IL",Wicker Park,Multi-Family Home,398000,2,4.23,8,3.42,116,3049,1344,22.2
"1625 W North Ave #202, Chicago IL",Wicker Park,Condo,399000,4,2.53,7,2.89,0,0,3000,50
"1625 W North Ave #301, Chicago IL",Wicker Park,Condo,400000,4,2.53,7,2.89,0,0,3000,50
"1620 W Augusta Blvd #2E, Chicago IL",Wicker Park,Condo,402500,4,4.43,7,3.18,0,0,3000,22.2
"2143 W Division St #4, Chicago IL",Wicker Park,Condo,403000,4,2.59,9,3.95,0,0,3000,36.2
"2045 W Cortez St, Chicago IL",Wicker Park,Multi-Family Home,405000,2,1.09,10,3.86,121,3049,2016,36.2
"1332 N Wolcott Ave #3, Chicago IL",Wicker Park,Condo,405000,4,5.88,9,3.4,0,0,3000,69.4
"1740 N Marshfield Ave, Chicago IL",Wicker Park,Condo,406000,4,1.4,9,2.84,0,0,3000,50
"1947 W Evergreen Ave #G, Chicago IL",Wicker Park,Condo,407000,4,4.99,9,3.54,0,0,3000,69.4
"1525 N Milwaukee Ave #29, Chicago IL",Wicker Park,Condo,408000,4,4.79,9,3.4,0,0,3000,69.4
"2014 W Augusta Blvd #3, Chicago IL",Wicker Park,Condo,410000,4,1.34,8,3.84,0,0,3000,36.2
"1395 N Milwaukee Ave #1W, Chicago IL",Wicker Park,Condo,410000,4,4.88,8,3.23,0,0,3000,59.5
"2089 W Wabansia Ave #206, Chicago IL",Wicker Park,Condo,410000,4,5.58,10,3.58,0,0,3000,36.1
"1809 W Wabansia Ave, Chicago IL",Wicker Park,Multi-Family Home,420000,2,5.65,9,3.13,98,1742,1496,33.3
"2136 W Crystal St #1, Chicago IL",Wicker Park,Condo,422500,4,3.89,10,3.91,0,0,3000,16.7
"1523 W Thomas St #1, Chicago IL",Wicker Park,Condo,424500,4,5.3,7,2.96,0,0,3000,91.7
"2019 W Pierce Ave #4, Chicago IL",Wicker Park,Condo,425000,4,3.39,10,3.57,0,0,3000,69.4
"2041 W Pierce Ave #1A, Chicago IL",Wicker Park,Condo,426000,4,3.39,10,3.62,0,0,3000,69.4
"1517 W Augusta Blvd, Chicago IL",Wicker Park,Multi-Family Home,434000,2,5.1,6,3.03,121,3049,1512,22.2
"1308 N Bosworth Ave, Chicago IL",Wicker Park,Multi-Family Home,435000,2,4.75,8,2.89,119,3485,1760,40
"1028 N Wolcott Ave #1, Chicago IL",Wicker Park,Condo,435500,4,3.29,8,3.63,0,0,3000,59.5
"2041 W Pierce Ave #3B, Chicago IL",Wicker Park,Condo,440000,4,3.39,10,3.62,0,0,3000,69.4
"1030 N Paulina St #3, Chicago IL",Wicker Park,Condo,444000,4,4.93,8,3.28,0,0,3000,22.2
"2145 W Crystal St #3, Chicago IL",Wicker Park,Condo,450000,4,3.89,10,3.93,0,0,3000,16.7
"1620 W Augusta Blvd #PENT, Chicago IL",Wicker Park,Condo,452000,4,4.43,7,3.18,0,0,3000,22.2
"919 N Hermitage Ave #1, Chicago IL",Wicker Park,Condo,453000,4,4.23,8,3.39,0,0,3000,22.2
"1041 N Marshfield Ave #3, Chicago IL",Wicker Park,Condo,455000,4,5.43,8,3.17,0,0,3000,22.2
"1644 N Hermitage Ave, Chicago IL",Wicker Park,Multi-Family Home,460000,4,5.65,9,3.06,121,3049,2856,33.3
"1736 N Winnebago Ave #F, Chicago IL",Wicker Park,Condo,462500,2,8.08,11,3.84,0,871,1436,36.1
"1342 N Wolcott Ave, Chicago IL",Wicker Park,Condo,465000,4,5.88,9,3.39,0,0,3000,69.4
"1418 N Bell Ave, Chicago IL",Wicker Park,Multi-Family Home,466000,2,4.93,10,4.02,121,3049,1344,16.7
"1661 N Bell Ave, Chicago IL",Wicker Park,Condo,468000,4,6.25,11,3.88,0,0,3000,36.1
"1243 N Wolcott Ave #4, Chicago IL",Wicker Park,Condo,470000,4,4.99,9,3.48,0,0,3000,59.5
"901 N Hermitage Ave, Chicago IL",Wicker Park,Condo,471000,4,4.23,8,3.4,0,0,3000,22.2
"2121 W Division St #3, Chicago IL",Wicker Park,Condo,472500,4,2.59,9,3.92,0,0,3000,36.2
"1344 N Wolcott Ave #1, Chicago IL",Wicker Park,Condo,473500,4,5.88,9,3.39,0,0,3000,69.4
"1037 N Winchester Ave, Chicago IL",Wicker Park,Condo,475000,4,2.29,9,3.69,0,0,3000,59.5
"1634 W Beach Ave, Chicago IL",Wicker Park,Multi-Family Home,477000,2,4.63,9,2.96,31,2614,1840,78.9
"1137 N Wood St #F2, Chicago IL",Wicker Park,Condo,477500,4,4.18,8,3.39,0,0,3000,59.5
"1429 N Paulina St, Chicago IL",Wicker Park,Condo,485000,4,5.13,9,3.05,0,0,3000,78.9
"2008 W Potomac Ave #D, Chicago IL",Wicker Park,Condo,490000,2,3.59,11,3.68,0,1307,1328,69.4
"1421 N Wood St, Chicago IL",Wicker Park,Single-Family Home,490500,2,5.38,9,3.21,124,2614,922,69.4
"1118 N Winchester Ave, Chicago IL",Wicker Park,Single-Family Home,495000,2,3.49,9,3.67,108,3049,1958,59.5
"1321 N Bell Ave, Chicago IL",Wicker Park,Single-Family Home,500000,2,4.93,11,4.05,119,3049,1560,16.7
"1354 N Wolcott Ave, Chicago IL",Wicker Park,Condo,500000,2,5.88,9,3.37,0,1742,2040,69.4
"1051 N Wolcott Ave, Chicago IL",Wicker Park,Condo,500000,4,3.29,8,3.6,0,0,3000,59.5
"2140 W Haddon Ave #1W, Chicago IL",Wicker Park,Condo,501000,4,2.39,10,3.97,0,0,3000,36.2
"2046 W Willow St #C, Chicago IL",Wicker Park,Condo,510000,3,5.58,11,3.48,0,871,1704,36.1
"1767 N Hoyne Ave #B, Chicago IL",Wicker Park,Condo,515000,2,5.58,11,3.55,0,871,1754,36.1
"2255 W Wabansia Ave #108, Chicago IL",Wicker Park,Condo,516000,4,8.08,11,3.87,0,0,3000,36.1
"1743 W Augusta Blvd #1E, Chicago IL",Wicker Park,Condo,517000,4,3.43,7,3.4,0,0,3000,22.2
"1525 N Wood St #2, Chicago IL",Wicker Park,Condo,525000,4,4.98,8,3.17,0,0,3000,50
"1019 N Honore St #1, Chicago IL",Wicker Park,Condo,535000,4,3.99,9,3.52,0,0,3000,59.5
"2245 W North Ave, Chicago IL",Wicker Park,Condo,540000,4,4.45,9,3.95,0,0,3000,93.9
